Ville,Nom,Adresse,Étoiles,Note,Avis,Prix
Siem Reap,Onederz Hostel Siem Reap,"Siem Reap centre,Siem Reap - Voir sur la carte",3 étoiles,9.3,3456,12 €
Siem Reap,Pandora Suite D'Angkor,"Kouk Chak,Siem Reap - Voir sur la carte",5 étoiles,9.2,1004,31 €
Siem Reap,Elysium Suite La Residence,"Sala Kamreuk,Siem Reap - Voir sur la carte",4 étoiles,9.1,439,32 €
Siem Reap,Grand Venus La Residence,"Kouk Chak,Siem Reap - Voir sur la carte",,9,1040,31 €
Siem Reap,Lub d Siem Reap,"Siem Reap centre,Siem Reap - Voir sur la carte",4 étoiles,9.3,3129,14 €
Siem Reap,Bopha Wat Bo Residence,"Siem Reap centre,Siem Reap - Voir sur la carte",5 étoiles,9.2,285,29 €
Siem Reap,Indra Angkor Residence,"Sala Kamreuk,Siem Reap - Voir sur la carte",4 étoiles,8.7,597,25 €
Siem Reap,Darling Pub Hostel,"Siem Reap centre,Siem Reap - Voir sur la carte",3 étoiles,8.9,894,19 €
Siem Reap,VPlus Hotel,"Siem Reap centre,Siem Reap - Voir sur la carte",3 étoiles,9.4,1468,10 €
Siem Reap,Tropical Breeze Guesthouse,"Siem Reap centre,Siem Reap - Voir sur la carte",2 étoiles,8.2,550,14 €
Sihanoukville,Onederz Sihanoukville,"Plage de la Victoire,Sihanoukville - Voir sur la carte",2 étoiles,8.9,1672,12 €
Sihanoukville,STAR BAY Residence - FREE Laundry - 400m to Sokha Beach,"Plage de Sokha,Sihanoukville - Voir sur la carte",5 étoiles,8,13,32 €
Sihanoukville,Independence Hotel Resort & Spa,"Plage de l'Indépendance,Sihanoukville - Voir sur la carte",4 étoiles,8.1,2489,112 €
Sihanoukville,STAR BAY Residence Sihanoukville - 400m to Sokha Beach,"Plage de Sokha,Sihanoukville - Voir sur la carte",4 étoiles,7,128,44 €
Sihanoukville,RIVA Hotel SHV,"Plage de l'Indépendance,Sihanoukville - Voir sur la carte",4 étoiles,8.8,1355,72 €
Sihanoukville,Munich Hotel,"Plage de Sokha,Sihanoukville - Voir sur la carte",5 étoiles,8.5,181,46 €
Sihanoukville,Novotel Sihanoukville Holiday Resort,"Plage de l'Indépendance,Sihanoukville - Voir sur la carte",,8.7,471,216 €
Sihanoukville,Kactus - Your Island Sanctuary,"Koh Ta Kiev,Sihanoukville - Voir sur la carte",3 étoiles,8.6,146,23 €
Sihanoukville,Legend Hotel and Resort,"Sihanoukville Centre,Sihanoukville - Voir sur la carte",4 étoiles,9.1,662,56 €
Sihanoukville,Sahaa Beach Resort,"Plage d'Otres,Sihanoukville - Voir sur la carte",4 étoiles,7.9,684,48 €
Phnom Penh,Home Chic Hotel,"Chamkarmon,Phnom Penh - Voir sur la carte",,8.1,2346,25 €
Phnom Penh,Mettavary Hotel,"Chamkarmon,Phnom Penh - Voir sur la carte",4 étoiles,8.6,1888,31 €
Phnom Penh,Residence 110,"Doun Penh,Phnom Penh - Voir sur la carte",4 étoiles,8.2,1162,21 €
Phnom Penh,CHECK inn Phnom Penh BKK 1,"Chamkarmon,Phnom Penh - Voir sur la carte",4 étoiles,8.6,318,28 €
Phnom Penh,Onederz Phnom Penh,"Doun Penh,Phnom Penh - Voir sur la carte",2 étoiles,8.9,805,15 €
Phnom Penh,Phnom Penh Infinity Pool Min. $22/N - M Residence,"Chamkarmon,Phnom Penh - Voir sur la carte",5 étoiles,8,2402,26 €
