nom,adresse,etoiles,note,avis,prix,ville_id
Onederz Hostel Siem Reap,"Siem Reap centre,Siem Reap ",3,9.3,3456,12,30
Pandora Suite D'Angkor,"Kouk Chak,Siem Reap ",5,9.2,1004,31,30
Elysium Suite La Residence,"Sala Kamreuk,Siem Reap ",4,9.1,439,32,30
Grand Venus La Residence,"Kouk Chak,Siem Reap ",0,9.0,1040,31,30
Lub d Siem Reap,"Siem Reap centre,Siem Reap ",4,9.3,3129,14,30
Bopha Wat Bo Residence,"Siem Reap centre,Siem Reap ",5,9.2,285,29,30
Indra Angkor Residence,"Sala Kamreuk,Siem Reap ",4,8.7,597,25,30
Darling Pub Hostel,"Siem Reap centre,Siem Reap ",3,8.9,894,19,30
VPlus Hotel,"Siem Reap centre,Siem Reap ",3,9.4,1468,10,30
Tropical Breeze Guesthouse,"Siem Reap centre,Siem Reap ",2,8.2,550,14,30
Onederz Sihanoukville,"Plage de la Victoire,Sihanoukville ",2,8.9,1672,12,31
STAR BAY Residence - FREE Laundry - 400m to Sokha Beach,"Plage de Sokha,Sihanoukville ",5,8.0,13,32,31
Independence Hotel Resort & Spa,"Plage de l'Indépendance,Sihanoukville ",4,8.1,2489,112,31
STAR BAY Residence Sihanoukville - 400m to Sokha Beach,"Plage de Sokha,Sihanoukville ",4,7.0,128,44,31
RIVA Hotel SHV,"Plage de l'Indépendance,Sihanoukville ",4,8.8,1355,72,31
Munich Hotel,"Plage de Sokha,Sihanoukville ",5,8.5,181,46,31
Novotel Sihanoukville Holiday Resort,"Plage de l'Indépendance,Sihanoukville ",0,8.7,471,216,31
Kactus - Your Island Sanctuary,"Koh Ta Kiev,Sihanoukville ",3,8.6,146,23,31
Legend Hotel and Resort,"Sihanoukville Centre,Sihanoukville ",4,9.1,662,56,31
Sahaa Beach Resort,"Plage d'Otres,Sihanoukville ",4,7.9,684,48,31
Home Chic Hotel,"Chamkarmon,Phnom Penh ",0,8.1,2346,25,25
Mettavary Hotel,"Chamkarmon,Phnom Penh ",4,8.6,1888,31,25
Residence 110,"Doun Penh,Phnom Penh ",4,8.2,1162,21,25
CHECK inn Phnom Penh BKK 1,"Chamkarmon,Phnom Penh ",4,8.6,318,28,25
Onederz Phnom Penh,"Doun Penh,Phnom Penh ",2,8.9,805,15,25
Phnom Penh Infinity Pool Min. $22/N - M Residence,"Chamkarmon,Phnom Penh ",5,8.0,2402,26,25
Ohana Phnom Penh Palace Hotel,"Doun Penh,Phnom Penh ",4,8.5,5646,37,25
The Bridge Club,"Chamkarmon,Phnom Penh ",4,8.2,9616,38,25
The Big Easy Phnom Penh,"Doun Penh,Phnom Penh ",2,7.8,753,11,25
"Le Hotel Hotel, Phnom Penh","Doun Penh,Phnom Penh ",3,6.8,323,16,25
Cambana La Rivière Hotel,"Rive Est,Battambang ",4,8.6,89,55,4
The Sanctuary Villa Battambang,"Battambang Centre,Battambang ",4,8.0,981,35,4
Royal Hotel,"Battambang Centre,Battambang ",3,8.0,949,30,4
Blue Diamond Guesthouse,"Battambang Centre,Battambang ",2,7.9,243,30,4
Pomme Hostel Restaurant & Bar - Private Sleeping Cabins,"Battambang Centre,Battambang ",2,9.0,132,6,4
Emerald Bb Battambang Hotel,"Rive Est,Battambang ",3,8.1,548,20,4
Lux Guesthouse,"Battambang Centre,Battambang ",2,7.5,301,10,4
Muni Residence & Spa,"Rive Est,Battambang ",4,9.6,142,25,4
Classy Hotel,"Rive Est,Battambang ",4,8.4,1229,48,4
Delux Villa,"Battambang Centre,Battambang ",4,8.3,705,47,4
Onederz Kampot,"Kampot centre,Kampot ",3,8.9,534,16,10
Good Morning Kampot Guesthouse,"Kampot centre,Kampot ",2,7.7,732,11,10
Suorsdei Boutique,"Kampot centre,Kampot ",3,8.9,480,16,10
Monkey Republic Kampot,"Kampot centre,Kampot ",3,8.7,410,10,10
Bamboo Bungalows,"Kampot centre,Kampot ",3,7.9,960,21,10
Karma Traders Kampot,"Kampot centre,Kampot ",2,8.8,165,6,10
Montagne Boutique,"Kampot centre,Kampot ",3,8.8,802,28,10
Sokchea Kampot Hotel,"Kampot centre,Kampot ",4,8.6,223,46,10
Eden Eco Village,"Kampot centre,Kampot ",3,8.0,213,18,10
Funky Moon Kampot,"Kampot centre,Kampot ",5,8.3,292,14,10
LBN Asian Hotel,"Phum Dabpram,Kampong Cham ",0,8.5,823,49,8
Hanchey Bamboo Resort,"Boeng Kok Pir,Kampong Cham ",3,8.5,52,29,8
Thmor Da Guest House,"Phum Dabpram,Kampong Cham ",0,3.6,1,18,8
Phalla Riverside,"Boeng Kok Pir,Kampong Cham ",3,8.4,103,11,8
BK Bungalows,"Boeng Kok Pir,Kampong Cham ",3,8.0,7,7,8
OBT Homestay and Bungalows,"Boeng Kok Pir,Kampong Cham ",3,8.3,3,12,8
