name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"The Blanc Residence","Sok San Road, Steng Thmey, Cambodia 17252, Cambodia","+855 12 800 705","reservation@theblancresidence.com",13.3547879,103.8485408,"http://www.theblancresidence.com/","Cambodia","Siem Reap Province","Siem Reap",4.1,179,"17252","Hotels","Hotels","https://web.facebook.com/Theblancresidence","https://www.instagram.com/the_blanc_residence?igsh=MTQ3djBwb2Z4a2U2eQ%3D%3D&utm_source=qr","","https://twitter.com/Cambodiaguided","https://wa.me/qr/LSEFTZBYHQ7QP1","","https://www.tiktok.com/@theblancresidence?_t=8jJhQTR4DrE&_r=1"
"Cambana La Riviere Hotel","Romchek 5 21403, Krong Battambang 21403, Cambodia","+855 17 977 727","info@cambanalariviere.com",13.0996707,103.2027453,"http://www.cambanalariviere.com/","Cambodia","Battambang Province","Battambang",4.6,23,"21403","Hotels","Hotels","https://facebook.com/messages/t/101907599107743","https://www.instagram.com/cambanalarivierehotel/","https://www.linkedin.com/in/cambana-la-riviere-hotel-b11347241/","https://twitter.com/CambanaH","https://wa.me/85512215708","",""
"Kesya Hotel","Achar Sva St, Krong Siem Reap 17252, Cambodia","+855 11 881 207","reservation@kesyahotel.com",13.3545053,103.8578572,"http://www.kesyahotel.com/","Cambodia","Siem Reap Province","Siem Reap",4.2,23,"17252","Hotels","Hotels","https://web.facebook.com/hotelkesya","https://www.instagram.com/kesya.hotel","","https://twitter.com/KesyaHotel","http://wa.me/85511881207","",""
"Pacific Hotel Phnom Penh","234 Preah Monivong Blvd (93), Phnom Penh 12208, Cambodia","+855 15 515 565","info@pacifichotel.asia",11.5665339,104.9191512,"http://www.pacifichotel.asia/","Cambodia","Phnom Penh","Phnom Penh",4,348,"12208","Hotels","Hotels","https://www.facebook.com/Pacific-Hotel-244895949338559/","https://www.instagram.com/pacifichotelpp/","","https://twitter.com/pacifichotelpp","","",""
"Long Night Siem Reap Hotel","Sway Dangkhum, Krong Siem Reap 17252, Cambodia","+855 86 888 986","info@longnightsiemreaphotel.com",13.353424,103.8469003,"https://longnightsiemreaphotel.com/index.html","Cambodia","Siem Reap Province","Siem Reap",4.6,134,"17252","Hotels","Hotels","https://www.facebook.com/longnightsiemreap/?modal=admin_todo_tour","https://www.instagram.com/longnightsiemreap2022/?hl=en","","https://twitter.com/LongNight168","","",""
"LCS Hotel & Apartment","HWJC+PJR, 10, St. Preah Sisowath Quay Phnom Penh HWJC+PJR រាជធានី, Phnom Penh 12201, Cambodia","+855 23 724 999","reservation@lcshotel.com",11.5819058,104.9213985,"https://lcshotel.com/","Cambodia","Phnom Penh","Phnom Penh",4.1,292,"12201","Hotels","Hotels","https://www.facebook.com/lcshotel/menu/?id=100044615721940&sk=menu","https://www.instagram.com/lcshotelapartment/","https://www.linkedin.com/feed/","https://twitter.com/SamadyLcs","","","https://www.tiktok.com/@lcshotel"
"Phka Chan Hotel","Steung Thmei, Krong Siem Reap 17252, Cambodia","+855 89 947 979","info@phkachan.com",13.3552473,103.8484921,"https://phkachan.com/","Cambodia","Siem Reap Province","Siem Reap",4.7,125,"17252","Hotels","Hotels","https://www.facebook.com/phkachanhotel/","https://www.instagram.com/phkachanhotel/","https://kh.linkedin.com/in/phka-chan-hotel","https://twitter.com/phkachanhotel","","https://www.youtube.com/@phkachanhotel1020",""
"ibis Styles Siem Reap","Street 10, Krong Siem Reap 17252, Cambodia","+855 63 968 456","H9914@accor.com",13.3529558,103.8540046,"https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9914&merchantid=seo-maps-KH-9914&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNjEzMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","Cambodia","Siem Reap Province","Siem Reap",4.6,175,"17252","Hotels","Hotels","https://www.facebook.com/ALL","https://instagram.com/all","https://www.linkedin.com/company/all-accorlivelimitless/","https://twitter.com/all","","https://www.youtube.com/All_AccorLiveLimitless",""
"Mekong Angkor Palace Hotel","021 Sivutha Blvd, Krong Siem Reap 17252, Cambodia","+855 63 963 636","info@mekongangkorpalaces.com",13.3604174,103.8545305,"http://www.mekongangkorpalaces.com/","Cambodia","Siem Reap Province","Siem Reap",4,487,"17252","Hotels","Indoor lodgings,Hotels,Lodges","https://www.facebook.com/MekongAngkorDeluxe/","https://www.instagram.com/mekongangkorpalacehotel/","","https://twitter.com/mekong_angkor","","",""
"Royal Angkor Resort","Phum Kasekum, 6 NR6, Krong Siem Reap 93279, Cambodia","+855 63 767 555","reservation@royalangkorresort.com",13.3799629,103.8289947,"http://www.royalangkorresort.com/","Cambodia","Siem Reap Province","Siem Reap",4.4,484,"93279","Hotels","Hotels","https://www.facebook.com/RoyalAngkorResort/","https://www.instagram.com/royal.angkor.resort/?hl=en","","https://twitter.com/royalangkor?lang=en","","https://www.youtube.com/watch?v=bVfjQD24lP4",""
