ville,id
Angkor Wat,1
Banann,2
Banteay Srei,3
Battambang,4
Bokor,5
Cai Rang,6
Delta du Mékong,7
Kampong Cham,8
Kampong Thom,9
Kampot,10
Kep,11
Koh Ker,12
Koh Kong,13
Koh Rong,14
Koh Rong Samloem,15
Koh Rong Sanloem,16
Kompong Phluk,17
Kompong Phluk et le lac Tonlé Sap,18
Kompong Thom,19
Kratie,20
Montagne Kulen,21
Parc de Phnom Kulen,22
Phnom Bakheng,23
Phnom Da,24
Phnom Penh,25
Phnom Tamao,26
Preah Vihear,27
Pursat,28
Sambor Preikuk,29
Siem Reap,30
Sihanoukville,31
Silk Island,32
Stung Treng,33
Takeo,34
Tonle Sap,35
Village flottant de Kompong Khleang,36
